Year,Age,Total
1933,0,1999833.81
1933,1,2104584.31
1933,2,2210570.95
1933,3,2243040.9
1933,4,2310138.05
1933,5,2397155.7
1933,6,2429506.89
1933,7,2449392.09
1933,8,2480006.48
1933,9,2485608.4
1933,10,2506348.04
1933,11,2517843.9
1933,12,2473596.23
1933,13,2424854.74
1933,14,2385789.93
1933,15,2357300.96
1933,16,2340973.72
1933,17,2329232.81
1933,18,2315358.06
1933,19,2298513.44
1933,20,2277016.53
1933,21,2250207.47
1933,22,2220442.75
1933,23,2190390.28
1933,24,2159420.98
1933,25,2125527.75
1933,26,2088488.44
1933,27,2050124.55
1933,28,2012277.65
1933,29,1975377.22
1933,30,1939610.67
1933,31,1905452.92
1933,32,1872385.6
1933,33,1838202.08
1933,34,1807565.76
1933,35,1791432.36
1933,36,1792063.57
1933,37,1800453.98
1933,38,1810082.27
1933,39,1813846.87
1933,40,1797753.59
1933,41,1757328.25
1933,42,1704319.19
1933,43,1649102.06
1933,44,1594454.71
1933,45,1544797.24
1933,46,1502038.82
1933,47,1461700.43
1933,48,1419418.67
1933,49,1375889.76
1933,50,1332930.56
1933,51,1290939.68
1933,52,1249506.97
1933,53,1208624.91
1933,54,1167146.26
1933,55,1122486.12
1933,56,1074061.35
1933,57,1024018.66
1933,58,973925.93
1933,59,925125.19
1933,60,880331.9
1933,61,840125.92
1933,62,802217.03
1933,63,765028.8
1933,64,727601.85
1933,65,688010.64
1933,66,645750.79
1933,67,602628.59
1933,68,559971.01
1933,69,518719.92
1933,70,480780.98
1933,71,446557.84
1933,72,414518.59
1933,73,383427.38
1933,74,355566.14
1933,75,324656.79
1933,76,288148.94
1933,77,252885.2
1933,78,219859.93
1933,79,189850.71
1933,80,165127.92
1933,81,141144.47
1933,82,119952.84
1933,83,100822.81
1933,84,83618.31
1933,85,68323.5
1933,86,55048.18
1933,87,43731.29
1933,88,34274.81
1933,89,26481.64
1933,90,20165.99
1933,91,15232.42
1933,92,11359.04
1933,93,8372.26
1933,94,6107.44
1933,95,4417.12
1933,96,3164.82
1933,97,2317.81
1933,98,1774.99
1933,99,1399.71
1933,100,1009.28
1933,101,692.9
1933,102,467.57
1933,103,310.94
1933,104,204.94
1933,105,132.17
1933,106,84.42
1933,107,53.58
1933,108,33.2
1933,109,19.81
1933,110+,21.5
1934,0,1906141.25
1934,1,1964049.34
1934,2,2145454.9
1934,3,2216775.37
1934,4,2238665.23
1934,5,2339679.79
1934,6,2392675.82
1934,7,2423970.18
1934,8,2445964.11
1934,9,2476286.59
1934,10,2482455.29
1934,11,2505647.69
1934,12,2512116.13
1934,13,2467783.52
1934,14,2419886.13
1934,15,2380295.5
1934,16,2351081.69
1934,17,2334299.89
1934,18,2322322.18
1934,19,2308277.48
1934,20,2291285.39
1934,21,2269537.46
1934,22,2242074.92
1934,23,2211471.64
1934,24,2180674.29
1934,25,2148960.29
1934,26,2114756.33
1934,27,2078151.74
1934,28,2040823.51
1934,29,2004053.68
1934,30,1968189.8
1934,31,1933242.44
1934,32,1899487.13
1934,33,1866367.03
1934,34,1831989.36
1934,35,1801261.43
1934,36,1784518.56
1934,37,1783795.78
1934,38,1790272.49
1934,39,1797923.25
1934,40,1799565.3
1934,41,1781955.33
1934,42,1741385.94
1934,43,1689283.97
1934,44,1635046.89
1934,45,1581449.27
1934,46,1532255.88
1934,47,1488779.67
1934,48,1446753.73
1934,49,1402730.69
1934,50,1357519.88
1934,51,1313127.19
1934,52,1270307.4
1934,53,1228604.31
1934,54,1187573.69
1934,55,1145897.25
1934,56,1101328.4
1934,57,1053428.39
1934,58,1004143.42
1934,59,954742.05
1934,60,906667.64
1934,61,862091.96
1934,62,821301.23
1934,63,782173.32
1934,64,743787.13
1934,65,705303.67
1934,66,664730.51
1934,67,621879.28
1934,68,578419.93
1934,69,535353.59
1934,70,493619.14
1934,71,455148.06
1934,72,420576.33
1934,73,388402.04
1934,74,357405.91
1934,75,335129.92
1934,76,298915.45
1934,77,263409.71
1934,78,229252.34
1934,79,197434.72
1934,80,171788.33
1934,81,145969.95
1934,82,123396.14
1934,83,103699.66
1934,84,86150.26
1934,85,70536.68
1934,86,56958.43
1934,87,45249.86
1934,88,35403.44
1934,89,27321.19
1934,90,20762.48
1934,91,15639.28
1934,92,11697.27
1934,93,8656.99
1934,94,6344.85
1934,95,4588.85
1934,96,3317.92
1934,97,2377.73
1934,98,1760.21
1934,99,1364.3
1934,100,1024.92
1934,101,699.58
1934,102,473.64
1934,103,314.49
1934,104,205.57
1934,105,133.43
1934,106,84.35
1934,107,52.89
1934,108,33.1
1934,109,20.07
1934,110+,21.88
1935,0,1913110.31
1935,1,1889719.87
1935,2,2067609.35
1935,3,2165964.12
1935,4,2213960.59
1935,5,2299957.8
1935,6,2334891.31
1935,7,2387486.56
1935,8,2419429.61
1935,9,2442858.34
1935,10,2473169.92
1935,11,2482128.14
1935,12,2502648.7
1935,13,2503946.64
1935,14,2460440.44
1935,15,2413145.47
1935,16,2372761.65
1935,17,2342898.13
1935,18,2325959.29
1935,19,2314121.04
1935,20,2300277.75
1935,21,2283279.72
1935,22,2260985.9
1935,23,2232396.17
1935,24,2200483.47
1935,25,2168329.77
1935,26,2135589.26
1935,27,2101481.19
1935,28,2066329.89
1935,29,2031114.47
1935,30,1996459.66
1935,31,1962498.72
1935,32,1928870.87
1935,33,1895583.01
1935,34,1862401.47
1935,35,1828063.96
1935,36,1797034.66
1935,37,1778806.99
1935,38,1775260.86
1935,39,1778273.38
1935,40,1782194.63
1935,41,1780558.42
1935,42,1761645.65
1935,43,1722182.2
1935,44,1672330.78
1935,45,1620541.35
1935,46,1568922.56
1935,47,1519994.32
1935,48,1474651.18
1935,49,1429774.39
1935,50,1382931.23
1935,51,1335197.26
1935,52,1289118.62
1935,53,1245696.02
1935,54,1203984.77
1935,55,1162908.36
1935,56,1121402.62
1935,57,1077753.78
1935,58,1031520.61
1935,59,984223.24
1935,60,936960.36
1935,61,890697.4
1935,62,846606.09
1935,63,804695.37
1935,64,763669.83
1935,65,723319.68
1935,66,682964.94
1935,67,641053.76
1935,68,597603.12
1935,69,553910.25
1935,70,510645.51
1935,71,468723.62
1935,72,430078.19
1935,73,395378.07
1935,74,363129.27
1935,75,344096.15
1935,76,308341.38
1935,77,273066.75
1935,78,238702.05
1935,79,205883.42
1935,80,179278.82
1935,81,151547.35
1935,82,127335.71
1935,83,106424.6
1935,84,88446.76
1935,85,72595.6
1935,86,58785.99
1935,87,46839.34
1935,88,36646.91
1935,89,28201.14
1935,90,21361.27
1935,91,16002.22
1935,92,11884.38
1935,93,8800.18
1935,94,6470.16
1935,95,4710.44
1935,96,3419.16
1935,97,2493.71
1935,98,1804.05
1935,99,1342.12
1935,100,977.45
1935,101,690.13
1935,102,462.06
1935,103,307.45
1935,104,199.83
1935,105,127.58
1935,106,81.14
1935,107,49.8
1935,108,30.38
1935,109,18.66
1935,110+,20.42
1936,0,1948130.44
1936,1,1902410.89
1936,2,2007446.67
1936,3,2087035.15
1936,4,2161887.93
1936,5,2271024.93
1936,6,2292147.52
1936,7,2330409.04
1936,8,2382518.94
1936,9,2414970.69
1936,10,2439807.7
1936,11,2470023.85
1936,12,2481645.59
1936,13,2499263.76
1936,14,2495145.72
1936,15,2452366.47
1936,16,2405649.43
1936,17,2364482.46
1936,18,2334022.26
1936,19,2317019.42
1936,20,2305334.61
1936,21,2291660.77
1936,22,2274729.29
1936,23,2252018.1
1936,24,2222445.2
1936,25,2189266.58
1936,26,2155782.57
1936,27,2122009.56
1936,28,2087975.93
1936,29,2054262.96
1936,30,2021116.4
1936,31,1988544.15
1936,32,1956436.67
1936,33,1923991.33
1936,34,1891017.43
1936,35,1857785.48
1936,36,1823441.17
1936,37,1792140.98
1936,38,1772497.5
1936,39,1766205.03
1936,40,1765774.86
1936,41,1765953.08
1936,42,1760995.64
1936,43,1740705.63
1936,44,1702235.18
1936,45,1654556.37
1936,46,1605117.12
1936,47,1555402.68
1936,48,1506683.56
1936,49,1459470.96
1936,50,1411792.85
1936,51,1362156.58
1936,52,1311990.02
1936,53,1264326.51
1936,54,1220387.17
1936,55,1178665.31
1936,56,1137550.12
1936,57,1096155.15
1936,58,1053236.92
1936,59,1008447.64
